country,lat,long,confirmed,deaths,recovered,color
Mauritius,[-20.348404],[57.552152],0.37230657764185277,0.07374358584113277,0.9569312781081141,"[0.41907802024774277, 0.06324967144467625, 0.9181169772779951, 0.9999999999999998]"
Mexico,"[21.8853, 30.8406, 26.0444, 19.8301, 16.7569, 28.633, 19.4326, 27.0587, 19.1223, 24.5593, 21.019, 17.4392, 20.0911, 20.6595, 19.4969, 19.5665, 18.6813, 21.7514, 25.5922, 17.0732, 19.0414, 20.5888, 19.1817, 22.1565, 25.1721, 29.2972, 17.8409, 24.2669, 19.3139, nan, 19.1738, 20.7099, 22.7709]","[-102.2916, -115.2838, -111.6661, -90.5349, -93.1292, -106.0691, -99.1332, -101.7068, -104.0072, -104.6588, -101.2574, -99.5451, -98.7624, -103.3494, -99.7233, -101.7068, -99.1013, -104.8455, -99.9962, -96.7266, -98.2063, -100.3899, -88.4791, -100.9855, -107.4795, -110.3309, -92.6189, -98.8363, -98.2404, nan, -96.1342, -89.0943, -102.5832]",0.8422713043480848,0.3304221582612885,0.8120570509080843,"[0.7439836856304094, 0.22170563123095546, 0.8576423872750673, 0.9999999999999998]"
Moldova,[47.4116],[28.3699],0.7060752419749929,0.08048698536787148,0.9323302294069775,"[0.708763377656161, 0.047842800761233505, 0.9277356031199281, 0.9999999999999998]"
Monaco,[43.7333],[7.4167],0.40410972004386536,0.013040598991407693,0.8517282462614891,"[0.3732480672283301, 0.03406336067113676, 0.8165525600211068, 0.9999999999999998]"
Mongolia,[46.8625],[103.8467],0.4241484057970195,0.0031049018248301935,0.7553527989716238,"[0.429796993245138, 0.049156014799953754, 0.7885082359698463, 0.9999999999999998]"
Montenegro,[42.708678],[19.37439],0.6411872980234308,0.0545429653217215,0.846834943644634,"[0.6164115119799688, 0.06485953874338946, 0.8623286953818167, 0.9999999999999998]"
Morocco,[31.7917],[-7.0926],0.7720023483819657,0.06556932643143523,0.9502514585422095,"[0.7692057788680328, 0.06980318493770475, 0.934521091235776, 0.9999999999999998]"
Mozambique,[-18.665695],[35.529562],0.5850011894669416,0.03459350917468937,0.9104154430745629,"[0.5833945186839546, 0.06487221945030518, 0.881346225833505, 0.9999999999999998]"
Namibia,[-22.9576],[18.4904],0.6005710532369678,0.03374783891751877,0.8867374392420004,"[0.5833945186839546, 0.06487221945030518, 0.881346225833505, 0.9999999999999998]"
Nepal,[28.1667],[84.25],0.7407983155401116,0.027960658810848037,0.9789297418043283,"[0.7004578235640095, 0.04333220902256781, 0.956527800616746, 0.9999999999999998]"
Netherlands,"[12.5211, 12.1784, 12.1696, 52.862485, 52.550383, 53.087337, 52.061738, 53.217922, 51.209227, 51.561174, 52.600906, 52.444558, 18.0425, nan, 52.084251, 51.47936, 51.937835]","[-69.9683, -68.2385, -68.99, 6.618435, 5.515162, 5.7925, 5.939114, 6.741514, 5.93387, 5.184942, 4.918688, 6.441722, -63.0548, nan, 5.163824, 3.861559, 4.462114]",0.80906349285011,0.05504101855363988,0.016848225595834296,"[0.7643185859600279, 0.06556379933367992, 0.06010493846658323, 0.9999999999999997]"
New Zealand,[-40.9006],[174.886],0.45657169461239655,0.04471262500832931,0.967555971564902,"[0.4838186681296027, 0.07030812993443392, 0.9445131529657241, 0.9999999999999998]"
Nicaragua,[12.865416],[-85.207229],0.5171066856528792,0.10562800708466408,0.7645237673740654,"[0.5250607222401505, 0.10359920949437172, 0.7299809831284887, 0.9999999999999998]"
Niger,[17.607789],[8.081666],0.48357214898891693,0.12358832953555011,0.636500165450478,"[0.4790807876112185, 0.11150127711719825, 0.6169818939898354, 0.9999999999999997]"
Nigeria,[9.082],[8.6753],0.6769136725480358,0.05687188819999891,0.8787564370357734,"[0.6778177553989893, 0.053526798929398524, 0.8975303749194008, 0.9999999999999998]"
North Macedonia,[41.6086],[21.7453],0.6732219195237226,0.11633909651323945,0.8036827778265428,"[0.6872258703332121, 0.08406086185164893, 0.7974286377597942, 0.9999999999999998]"
Norway,[60.472],[8.4689],0.6428769425764399,0.03388117995779768,0.44154206436895105,"[0.6174106032700037, 0.07187783839356385, 0.4417025177509673, 0.9999999999999997]"
Oman,[21.512583],[55.923255],0.6987867936922548,0.04537005224935857,0.9604071063381052,"[0.7004578235640095, 0.04333220902256781, 0.956527800616746, 0.9999999999999998]"
Pakistan,"[34.027401, 28.328492, 35.792146, 33.665087, 34.485332, 30.811346, 26.009446]","[73.947253, 65.898403, 74.982138, 73.121219, 72.09169, 72.139132, 68.776807]",0.7776966248795124,0.08225466555183429,0.9301896984890422,"[0.7692057788680328, 0.06980318493770475, 0.934521091235776, 0.9999999999999998]"
Panama,[8.538],[-80.7821],0.7385591135967864,0.06341849489090773,0.8425197719554331,"[0.7143469926102517, 0.05772500033683188, 0.8581577787941278, 0.9999999999999998]"
Papua New Guinea,[-6.314993],[143.95555],0.39555556765147526,0.04500672595103261,0.8855243064251369,"[0.4262378005962062, 0.06407503601160237, 0.9056268700799729, 0.9999999999999998]"
Paraguay,[-23.4425],[-58.4438],0.6886895921598258,0.08138667116751568,0.8250019005167161,"[0.7008009174861083, 0.08958703436686519, 0.8413848751347303, 0.9999999999999998]"
